session,group,ppt,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,copy_score,srt_score,town_map,bsl_grade
1,pilot,HW001,0.6825,0.7619,0.7222,5,35,7,4.5,38,30,0.7895,38,33,0.7917,,,,0.7344,4052,,,,,,,TBC,,,
1,pilot,HW005,0.746,0.73,0.738,8,88,11,6.5,39,38,0.9744,45,42,0.9032,,,,0.9063,2580,,,,,,,TBC,,,
1,pilot,HW006,0.666,0.746,0.706,6,54,9,5.5,33,30,0.9091,40,40,1,,,,0.9297,3752,,,,,,,TBC,,,
1,pilot,HW007,0.7302,0.7143,0.7223,6,60,10,6,40,30,0.75,43,39,0.8621,,,,0.9297,2965,,,,,,,TBC,,,
1,pilot,HW008,0.746,0.73,0.738,8,80,10,6,38,33,0.8684,45,45,1,,,,0.9531,2507,,,,,,,TBC,,,
1,pilot,HW013,0.683,0.714,0.6985,6,60,10,6,42,31,0.7381,46,39,0.7813,,,,0.875,3057,,,,,,,TBC,,,
1,pilot,HW015,0.73,0.698,0.714,6,48,8,5,42,31,0.7381,41,40,0.963,,,,0.9063,2376,,,,,,,TBC,,,
1,pilot,HW020,0.619,0.714,0.6665,8,72,9,5.5,42,30,0.7143,45,39,0.8065,,,,0.914,1934,,,,,,,TBC,,,
1,pilot,HW025,0.7619,0.7619,0.7619,6,54,9,5.5,31,27,0.871,37,37,1,,,,0.9844,8256,,,,,,,TBC,,,
1,pilot,HW026,0.6508,0.6032,0.627,5,40,8,5,42,28,0.6667,45,40,0.8387,,,,0.9375,2430,,,,,,,TBC,,,
1,pilot,HW028,0.7301,0.7936,0.7619,9,126,14,8,38,31,0.8158,42,41,0.9643,,,,0.9531,3696,,,,,,,TBC,,,
1,grant,HW1011,0.6667,0.6667,0.6667,6,54,9,5.5,36,31,0.8611,42,40,0.9524,8,0.8571,4.78,,,0.9166,2417,,,,,TBC,,,
1,grant,HW1021,0.6508,0.6984,0.6746,5,40,8,5,30,25,0.8333,36,34,0.9444,8,0.7143,5.34,,,0.5937,4285,,,,,TBC,,,
1,grant,HW1031,0.6984,0.7143,0.7063,8,80,10,6,42,39,0.9286,41,39,0.9512,10,0.875,5.88,,,0.5833,4085,,,,,TBC,,,
1,grant,HW1041,0.7143,0.7619,0.7381,6,54,9,5.5,37,28,0.7568,43,36,0.8372,6,0.7,3.99,,,0.8646,3253,,,,,TBC,,,
1,grant,HW1051,0.7302,0.7302,0.7302,6,48,8,5,36,32,0.8889,37,36,0.973,7,0.75,4.35,,,0.8958,2442,,,,,TBC,,,
1,grant,HW1061,0.7143,0.7143,0.7143,6,54,9,5.5,42,39,0.9286,45,40,0.8889,,,,,,0.6979,2891,,,,,IV (SW),,,
1,grant,HW1071,0.619,0.5238,0.5714,5,40,8,5,30,19,0.6333,20,16,0.8,6,0.5,3.38,,,0.3958,4121,,,,,TBC,,,
1,grant,HW1081,0.7302,0.746,0.7381,5,30,6,4,41,30,0.7317,45,39,0.8667,5,0.625,2.77,,,0.75,3527,,,,,TBC,,,
1,grant,HW1091,0.746,0.7619,0.754,8,80,10,6,36,20,0.5556,46,41,0.8913,,,,,,0.6042,3170,,,,,IV (SW),,,
1,grant,HW1101,0.746,0.6984,0.7222,5,40,8,5,39,33,0.8462,44,39,0.8864,9,0.75,6.79,,,0.146,3258,,,,,TBC,,,
1,grant,HW1111,0.7143,0.7143,0.7143,5,35,7,4.5,36,30,0.8333,41,41,1,7,0.6667,4.83,,,0.5104,3862,,,,,"SW?, TBC",,,
1,grant,HW1121,0.7778,0.7302,0.754,5,40,8,5,42,34,0.8095,43,38,0.8837,,,,,,0.677,3398,,,,,IV (SW),,,
1,grant,WV2011,0.746,0.7302,0.7381,5,40,8,5,42,39,0.9286,46,42,0.913,7,0.6667,4.19,,,0.875,2656,,,,,TBC,,,
1,grant,WV2021,0.6667,0.6825,0.6746,5,35,7,4.5,38,36,0.9474,33,32,0.9697,7,0.75,4.47,,,0.458,3832,,,,,RT?,,,
1,grant,WV2031,0.7143,0.6984,0.7063,6,54,9,5.5,40,34,0.85,46,42,0.913,9,0.6875,5.15,,,0.8125,3353,,,,,TBC,,,
1,grant,WV2041,0.746,0.6667,0.7063,6,60,10,6,33,28,0.8485,43,39,0.907,6,0.8,3.61,,,0.8438,3025,,,,,TBC,,,
1,grant,WV2051,0.6825,0.746,0.7143,6,48,8,5,31,26,0.8387,44,42,0.9545,6,0.8,3.31,,,0.5104,3338,,,,,RT?,,,
1,grant,WV2061,0.7143,0.7937,0.754,6,54,9,5.5,42,35,0.8333,39,36,0.9231,10,0.8125,6.28,,,0.6458,3016,,,,,TBC,,,
1,grant,WV2071,0.746,0.746,0.746,5,40,8,5,42,32,0.7619,38,31,0.8158,6,0.6,3.43,,,0.5,2002,,,,,TBC,,,
1,grant,WV2081,0.7619,0.746,0.754,6,60,10,6,42,31,0.7381,46,43,0.9348,8,0.7143,4.52,,,0.4479,3025,,,,,TBC,,,
1,grant,WV2091,0.7619,0.6825,0.7222,6,54,9,5.5,37,32,0.8649,40,37,0.925,5,0.75,2.36,,,0.8854,3279,,,,,TBC,,,
