session,group,ppt,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,grade_bsl,grade_terp,comments
1,pilot,HW001,0.68,0.76,0.72,5,35,7,4.5,38,30,0.79,38,33,0.79,NA,NA,NA,0.73,4052,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW005,0.75,0.73,0.74,8,88,11,6.5,39,38,0.97,45,42,0.9,NA,NA,NA,0.91,2580,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW006,0.67,0.75,0.71,6,54,9,5.5,33,30,0.91,40,40,1,NA,NA,NA,0.93,3752,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW007,0.73,0.71,0.72,6,60,10,6,40,30,0.75,43,39,0.86,NA,NA,NA,0.93,2965,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW008,0.75,0.73,0.74,8,80,10,6,38,33,0.87,45,45,1,NA,NA,NA,0.95,2507,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW013,0.68,0.71,0.7,6,60,10,6,42,31,0.74,46,39,0.78,NA,NA,NA,0.88,3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW015,0.73,0.7,0.71,6,48,8,5,42,31,0.74,41,40,0.96,NA,NA,NA,0.91,2376,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW020,0.62,0.71,0.67,8,72,9,5.5,42,30,0.71,45,39,0.81,NA,NA,NA,0.91,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW025,0.76,0.76,0.76,6,54,9,5.5,31,27,0.87,37,37,1,NA,NA,NA,0.98,8256,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW026,0.65,0.6,0.63,5,40,8,5,42,28,0.67,45,40,0.84,NA,NA,NA,0.94,2430,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,pilot,HW028,0.73,0.79,0.76,9,126,14,8,38,31,0.82,42,41,0.96,NA,NA,NA,0.95,3696,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,
1,grant,HW1011,0.67,0.67,0.67,6,54,9,5.5,36,31,0.86,42,40,0.95,8,0.86,4.78,NA,NA,0.92,2417,NA,NA,NA,NA,35,0.78,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1021,0.65,0.7,0.67,5,40,8,5,30,25,0.83,36,34,0.94,8,0.71,5.34,NA,NA,0.59,4285,NA,NA,NA,NA,17,0.38,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1031,0.7,0.71,0.71,8,80,10,6,42,39,0.93,41,39,0.95,10,0.88,5.88,NA,NA,0.58,4085,NA,NA,NA,NA,40,0.89,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1041,0.71,0.76,0.74,6,54,9,5.5,37,28,0.76,43,36,0.84,6,0.7,3.99,NA,NA,0.86,3253,NA,NA,NA,NA,23,0.51,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1051,0.73,0.73,0.73,6,48,8,5,36,32,0.89,37,36,0.97,7,0.75,4.35,NA,NA,0.9,2442,NA,NA,NA,NA,41,0.91,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1061,0.71,0.71,0.71,6,54,9,5.5,42,39,0.93,45,40,0.89,NA,NA,NA,NA,NA,0.7,2891,NA,NA,NA,NA,43,0.96,tbc,NA,NA,NA,NA,NA,copy sign - use interview version (SW)
1,grant,HW1071,0.62,0.52,0.57,5,40,8,5,30,19,0.63,20,16,0.8,6,0.5,3.38,NA,NA,0.4,4121,NA,NA,NA,NA,31,0.69,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1081,0.73,0.75,0.74,5,30,6,4,41,30,0.73,45,39,0.87,5,0.63,2.77,NA,NA,0.75,3527,NA,NA,NA,NA,43,0.96,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1091,0.75,0.76,0.75,8,80,10,6,36,20,0.56,46,41,0.89,NA,NA,NA,NA,NA,0.6,3170,NA,NA,NA,NA,28,0.62,tbc,NA,NA,NA,NA,NA,copy sign - use interview version (SW)
1,grant,HW1101,0.75,0.7,0.72,5,40,8,5,39,33,0.85,44,39,0.89,9,0.75,6.79,NA,NA,0.15,3258,NA,NA,NA,NA,45,1,tbc,tbc,NA,NA,NA,NA,
1,grant,HW1111,0.71,0.71,0.71,5,35,7,4.5,36,30,0.83,41,41,1,7,0.67,4.83,NA,NA,0.51,3862,NA,NA,NA,NA,39,0.87,NA,NA,NA,NA,NA,NA,copy sign done tbc (SW?)
1,grant,HW1121,0.78,0.73,0.75,5,40,8,5,42,34,0.81,43,38,0.88,NA,NA,NA,NA,NA,0.68,3398,NA,NA,NA,NA,44,0.98,tbc,NA,NA,NA,NA,NA,copy sign - use interview version (SW)
1,grant,WV2011,0.75,0.73,0.74,5,40,8,5,42,39,0.93,46,42,0.91,7,0.67,4.19,NA,NA,0.88,2656,NA,NA,NA,NA,41,0.91,tbc,tbc,NA,NA,NA,NA,
1,grant,WV2021,0.67,0.68,0.67,5,35,7,4.5,38,36,0.95,33,32,0.97,7,0.75,4.47,NA,NA,0.46,3832,NA,NA,NA,NA,44,0.98,tbc,NA,NA,NA,NA,NA,
1,grant,WV2031,0.71,0.7,0.71,6,54,9,5.5,40,34,0.85,46,42,0.91,9,0.69,5.15,NA,NA,0.81,3353,NA,NA,NA,NA,36,0.8,tbc,tbc,NA,NA,NA,NA,
1,grant,WV2041,0.75,0.67,0.71,6,60,10,6,33,28,0.85,43,39,0.91,6,0.8,3.61,NA,NA,0.84,3025,NA,NA,NA,NA,37,0.82,tbc,tbc,NA,NA,NA,NA,
1,grant,WV2051,0.68,0.75,0.71,6,48,8,5,31,26,0.84,44,42,0.95,6,0.8,3.31,NA,NA,0.51,3338,NA,NA,NA,NA,43,0.96,tbc,NA,NA,NA,NA,NA,
1,grant,WV2061,0.71,0.79,0.75,6,54,9,5.5,42,35,0.83,39,36,0.92,10,0.81,6.28,NA,NA,0.65,3016,NA,NA,NA,NA,40,0.89,bt,tbc,NA,NA,NA,NA,
1,grant,WV2071,0.75,0.75,0.75,5,40,8,5,42,32,0.76,38,31,0.82,6,0.6,3.43,NA,NA,0.5,2002,NA,NA,NA,NA,13,0.29,tbc,tbc,NA,NA,NA,NA,
1,grant,WV2081,0.76,0.75,0.75,6,60,10,6,42,31,0.74,46,43,0.93,8,0.71,4.52,NA,NA,0.45,3025,NA,NA,NA,NA,25,0.56,bt,tbc,NA,NA,NA,NA,
1,grant,WV2091,0.76,0.68,0.72,6,54,9,5.5,37,32,0.86,40,37,0.93,5,0.75,2.36,NA,NA,0.89,3279,NA,NA,NA,NA,34,0.76,bt,tbc,NA,NA,NA,NA,
1,grant,WV2111,0.7,0.76,0.73,6,54,9,5.5,42,20,0.48,39,37,0.95,6,0.7,4.25,NA,NA,0.49,2530,NA,NA,NA,NA,38,0.84,tbc,tbc,NA,NA,NA,NA,
2,pilot,HW001,0.73,0.73,0.73,5,40,8,5,42,30,0.71,46,36,0.69,NA,NA,NA,0.88,3193,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,68,NA,
2,pilot,HW005,0.68,0.68,0.68,6,60,10,6,42,34,0.81,42,40,0.93,NA,NA,NA,0.97,2036,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,63,NA,
2,pilot,HW006,0.75,0.73,0.74,6,60,10,6,39,29,0.74,43,41,0.93,NA,NA,NA,0.89,2808,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,60,NA,
2,pilot,HW007,0.79,0.75,0.77,6,60,10,6,38,28,0.74,43,42,0.97,NA,NA,NA,0.91,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,64,NA,
2,pilot,HW008,0.75,0.78,0.76,8,80,10,6,38,30,0.79,46,46,1,NA,NA,NA,0.97,2351,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,63,NA,
2,pilot,HW013,0.68,0.7,0.69,8,96,12,7,42,29,0.69,46,39,0.78,NA,NA,NA,0.8,2122,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,68,NA,
2,pilot,HW015,0.71,0.71,0.71,6,48,8,5,42,34,0.81,42,38,0.86,NA,NA,NA,0.76,1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,74,NA,
2,pilot,HW020,0.68,0.76,0.72,8,80,10,6,42,33,0.79,46,40,0.81,NA,NA,NA,0.92,1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,60,NA,
2,pilot,HW025,0.68,0.7,0.69,5,40,8,5,32,28,0.88,39,38,0.96,NA,NA,NA,0.96,5288,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,74,NA,
2,pilot,HW026,0.65,0.75,0.7,6,54,9,5.5,42,31,0.74,46,40,0.81,NA,NA,NA,0.98,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,58,NA,
2,pilot,HW028,0.76,0.76,0.76,8,96,12,7,42,35,0.83,46,44,0.94,NA,NA,NA,0.96,2528,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,64,NA,
2,grant,HW1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,unable to retest here due to Covid
2,grant,HW1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,unable to retest here due to Covid
2,grant,HW1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,unable to retest here due to Covid
2,grant,HW1041,0.59,0.71,0.65,6,60,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2398,48,10,15,23,NA,NA,tbc,NA,9,tbc,71,NA,did reverse dspan only
2,grant,HW1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,unable to retest here due to Covid
