session,group,ppt,selection,selected,continuation,continue,L1_bsl,self_rating,bsl_years,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp
1,first,S70,selected,1,withdrew,1,0,4,10,0.68,0.76,0.72,5,35,7,4.5,38,30,0.79,38,33,0.79,na,na,na,0.73,4052,na,na,na,na,na,na,na,na,na,84,na,na,na,na,na,na
1,first,S41,selected,1,withdrew,0,0,1,0,0.75,0.73,0.74,8,88,11,6.5,39,38,0.97,45,42,0.9,na,na,na,0.91,2580,na,na,na,na,na,na,na,na,na,74.5,na,na,na,na,na,na
1,first,S63,selected,1,withdrew,0,0,2,2,0.67,0.75,0.71,6,54,9,5.5,33,30,0.91,40,40,1,na,na,na,0.93,3752,na,na,na,na,na,na,na,na,na,62,na,na,na,na,na,na
1,first,S90,selected,1,withdrew,0,0,1,0,0.73,0.71,0.72,6,60,10,6,40,30,0.75,43,39,0.86,na,na,na,0.93,2965,na,na,na,na,na,na,na,na,na,69.5,na,na,na,na,na,na
1,first,S60,selected,1,withdrew,0,0,1,0,0.75,0.73,0.74,8,80,10,6,38,33,0.87,45,45,1,na,na,na,0.95,2507,na,na,na,na,na,na,na,na,na,74,na,na,na,na,na,na
1,first,S96,selected,1,continuing,1,1,5,14,0.68,0.71,0.7,6,60,10,6,42,31,0.74,46,39,0.78,na,na,na,0.88,3057,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S65,selected,1,continuing,0,0,2,3,0.73,0.7,0.71,6,48,8,5,42,31,0.74,41,40,0.96,na,na,na,0.91,2376,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S71,selected,1,withdrew,0,0,1,0,0.62,0.71,0.67,8,72,9,5.5,42,30,0.71,45,39,0.81,na,na,na,0.91,1934,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S33,selected,1,continuing,1,1,6,18,0.76,0.76,0.76,6,54,9,5.5,31,27,0.87,37,37,1,na,na,na,0.98,8256,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
1,first,S25,selected,1,withdrew,0,0,1,0,0.65,0.6,0.63,5,40,8,5,42,28,0.67,45,40,0.84,na,na,na,0.94,2430,na,na,na,na,na,na,na,na,na,tbc,na,na,na,na,na,na
