,nback_lett_1,nback_lett_2,nback_lett_3,nback_spat_1,nback_spat_2,nback_spat_3,nback_comb_1,nback_comb_2,nback_comb_3,corsi_bspan_1,corsi_bspan_2,corsi_bspan_3,corsi_score_1,corsi_score_2,corsi_score_3,corsi_corr_1,corsi_corr_2,corsi_corr_3,corsi_mspan_1,corsi_mspan_2,corsi_mspan_3,kirk_ceil_1,kirk_ceil_2,kirk_ceil_3,kirk_raw_1,kirk_raw_2,kirk_raw_3,kirk_acc_1,kirk_acc_2,kirk_acc_3,kbit_ceil_1,kbit_ceil_2,kbit_ceil_3,kbit_raw_1,kbit_raw_2,kbit_raw_3,kbit_acc_1,kbit_acc_2,kbit_acc_3,dspan_mem_1,dspan_mem_2,dspan_mem_3,dspan_corr_1,dspan_corr_2,dspan_corr_3,dspan_time_1,dspan_time_2,dspan_time_3,mr2d_acc_1,mr2d_acc_2,mr2d_acc_3,mr2d_rt_1,mr2d_rt_2,mr2d_rt_3,mr3d_acc_1,mr3d_acc_2,mr3d_acc_3,mr3d_rt_1,mr3d_rt_2,mr3d_rt_3,mlat_raw_1,mlat_raw_2,mlat_raw_3,mlat_acc_1,mlat_acc_2,mlat_acc_3,grade_bsl_1,grade_bsl_2,grade_bsl_3,grade_terp_1,grade_terp_2,grade_terp_3
nback_lett_1,1,0.227448984,0.52804413,0.466995397,-0.26214082,-0.012035902,0.809459083,0.050107858,0.281423021,0.110377433,-0.195248594,0.344839291,0.172664279,-0.146518053,0.320715594,0.222479452,-0.081070664,0.224959888,0.222479452,-0.081070664,0.224959888,0.227720453,-0.496702957,-0.247827017,0.306125409,-2.78E-16,-0.179189652,0.199582537,0.569974518,-0.066463505,0.399174233,-0.570434267,0.071614665,0.420454213,0.26628149,0.003036359,0.26942956,0.678677145,-0.064281893,-0.085099773,NA,-0.241435724,0.110912775,NA,-0.172650627,-0.092363363,NA,-0.398689695,0.329012828,0.151689976,-0.015004036,0.394679451,0.374567038,0.025819381,0.178733555,NA,-0.235340406,-0.450034002,NA,-0.217200885,0.081288499,NA,NA,0.080141123,NA,NA,NA,0.119699064,0.00963087,NA,-0.003688029,0.435595005
nback_lett_2,0.227448984,1,-0.911645732,0.23914119,0.469307959,-0.410976956,0.239476544,0.93683119,-0.811739351,0.239040057,0.147700655,0.726900461,0.302342082,0.152188124,0.594385587,0.308496,0.124093806,0.286142848,0.308496,0.124093806,0.286142848,-0.084879131,-0.145918815,0.958186971,0.225807708,-0.158776837,0.870570992,0.255859472,-0.08694085,0.800877191,-0.207436011,0.061113233,0.286142848,0.297906984,0.504496561,0.565122889,0.372016283,0.435209267,0.726900461,NA,NA,0.462067015,NA,NA,0.99582078,NA,NA,0.430038263,-0.022282271,-0.029687467,0.999437108,-0.049796223,-0.029544193,-0.919502112,NA,NA,-0.512837145,NA,NA,0.479736137,NA,NA,NA,NA,NA,NA,NA,-0.230876509,-0.355237754,NA,NA,-0.347013577
nback_lett_3,0.52804413,-0.911645732,1,0.613216803,-0.944911183,0.177230259,0.683360177,-0.970725343,0.681595004,0.14243627,-0.125988158,0.172867282,0.03362805,-0.21821789,0.116400244,-0.015128403,-0.3086067,0.002468662,-0.015128403,-0.3086067,0.002468662,0.233239836,NA,-0.623233663,-0.364256969,-1,-0.608772767,-0.629102257,-1,-0.427109221,0.148908841,-1,-0.312889131,-0.416059756,-1,-0.522008192,-0.565319639,-1,-0.369415585,0.0985778,NA,-0.412081692,-0.095939051,NA,-0.303664333,0.012283684,NA,-0.55069374,-1,-1,-0.624886163,-1,-1,-0.401831226,-0.058037172,-1,-0.340756235,0.065921324,-1,-0.462023196,-0.27887013,NA,NA,-0.285044926,NA,NA,NA,-0.286262998,-0.286276496,NA,-1,-0.124717585
nback_spat_1,0.466995397,0.23914119,0.613216803,1,-0.130232715,0.244038899,0.892547527,0.124995877,0.484543712,0.314102918,0.019663203,0.327797079,0.302740081,0.123027434,0.289439721,0.239048321,0.185188558,0.196409694,0.239048321,0.185188558,0.196409694,0.221906201,-0.276807819,-0.332837323,0.195439687,0.03954825,-0.314405132,0.10793817,0.338583629,-0.17594204,0.460748804,-0.203215415,-0.183189588,0.503611825,0.106748032,-0.146804396,0.264589366,0.264361592,0.019979702,0.135773594,NA,0.194642857,0.323853151,NA,0.132090562,0.168760159,NA,0.051978763,-0.127761373,0.014704642,-0.380055849,0.460346962,0.484963619,-0.140595631,0.116800396,-1,-0.299361674,-0.408549048,-1,-0.183740103,-0.01455357,NA,NA,-0.015684826,NA,NA,NA,0.179372035,0.144482863,NA,0.219372469,0.188607992
nback_spat_2,-0.26214082,0.469307959,-0.944911183,-0.130232715,1,0.327326835,-0.230887036,0.74710379,-0.188982237,0.295951783,0.485744493,1,0.250782033,0.357491284,0.984324138,0.150628934,0.17602623,0.866025404,0.150628934,0.17602623,0.866025404,0.183448024,0.058616022,0.5,-0.189008281,0.012457252,0.970725343,-0.301085867,-0.090929926,0.993399268,0.201068502,0.617330288,0.866025404,0.326341018,0.65711144,0.977355555,0.09434218,0.152002459,1,NA,NA,0.944911183,NA,NA,0.661143091,NA,NA,0.932593765,0.145372591,0.352176214,0.703452458,-0.335807657,-0.264069682,-0.938334858,NA,NA,0.216777492,NA,NA,-0.253836541,NA,NA,NA,NA,NA,NA,NA,-0.552718216,-0.583991051,NA,NA,-0.706902415
nback_spat_3,-0.012035902,-0.410976956,0.177230259,0.244038899,0.327326835,1,0.174665071,-0.240192231,0.832517179,-0.07577069,0.3086067,-0.532212817,-0.054242744,0.534522484,-0.632250318,-0.090047641,0.755928946,-0.709146555,-0.090047641,0.755928946,-0.709146555,-0.154697981,NA,-0.054627638,-0.285063154,1,-0.042012196,-0.262865226,1,0.065290088,-0.282600769,1,-0.224925868,-0.592465849,1,-0.207538875,-0.265644833,1,0.013109969,-0.151261349,NA,0.023698575,0.150555278,NA,-0.358511661,-0.165610961,NA,0.057275001,1,1,-0.086230345,1,1,0.190717376,-0.084968685,-1,0.003313984,0.422500831,-1,-0.066536977,0.01891512,NA,NA,0.023862852,NA,NA,NA,-0.384094376,-0.172807268,NA,-1,0.0652897
nback_comb_1,0.809459083,0.239476544,0.683360177,0.892547527,-0.230887036,0.174665071,1,0.07693813,0.47616287,0.282637445,-0.075973718,0.395805455,0.306086207,0.023402897,0.368772909,0.290133984,0.104175685,0.268230637,0.290133984,0.104175685,0.268230637,0.287310314,-0.460827578,-0.324752301,0.30217423,0.010093289,-0.280216215,0.174531755,0.527792623,-0.138727946,0.525551247,-0.432196115,-0.068560735,0.554558765,0.230075968,-0.064186991,0.287616036,0.548854381,0.00408687,0.057849241,NA,0.05527708,0.269639855,NA,0.004359153,0.067816982,NA,-0.123141943,0.116708514,0.122614304,-0.262209825,0.518549783,0.523716616,-0.074699488,0.203845583,-1,-0.284210718,-0.496787566,-1,-0.228715342,0.02667548,NA,NA,0.025128505,NA,NA,NA,0.169824013,0.079802579,NA,0.111090232,0.328068241
nback_comb_2,0.050107858,0.93683119,-0.970725343,0.124995877,0.74710379,-0.240192231,0.07693813,1,-0.693375245,0.289139529,0.296466485,0.838627869,0.323572331,0.252717867,0.729412669,0.291124309,0.164029966,0.45392065,0.291124309,0.164029966,0.45392065,0.013813815,-0.062387388,0.891042111,0.081178008,-0.098383794,0.944911183,0.058191619,-0.10954654,0.895574235,-0.083273598,0.334894593,0.45392065,0.335841889,0.644661559,0.704376068,0.303895819,0.358836665,0.838627869,NA,NA,0.61413236,NA,NA,0.963123137,NA,NA,0.585500029,0.046817025,0.13993654,0.977079572,-0.192172776,-0.148808698,-0.975233334,NA,NA,-0.34995662,NA,NA,0.313989737,NA,NA,NA,NA,NA,NA,NA,-0.396779435,-0.48917263,NA,NA,-0.525955475
nback_comb_3,0.281423021,-0.811739351,0.681595004,0.484543712,-0.188982237,0.832517179,0.47616287,-0.693375245,1,0.047453462,0.097590007,-0.280365414,6.77E-04,0.169030851,-0.394028282,-0.040913869,0.239045722,-0.51378864,-0.040913869,0.239045722,-0.51378864,-0.003880947,NA,-0.420707584,-0.423512242,1,-0.374429811,-0.547089023,1,-0.163958015,-0.157584187,1,-0.380172377,-0.678075102,1,-0.477052124,-0.492447286,1,-0.193131937,0.022429946,NA,-0.196509394,0.170376872,NA,-0.455561645,-0.034707733,NA,-0.264082988,1,1,-0.439691891,1,1,-0.094381104,-0.09525264,-1,-0.215470695,0.298256219,-1,-0.350322769,-0.168094658,NA,NA,-0.168172839,NA,NA,NA,-0.412125915,-0.227927721,NA,-1,0.026548737
corsi_bspan_1,0.110377433,0.239040057,0.14243627,0.314102918,0.295951783,-0.07577069,0.282637445,0.289139529,0.047453462,1,0.680158278,0.634498176,0.946298747,0.63716571,0.554248342,0.803605374,0.500123503,0.441678639,0.803605374,0.500123503,0.441678639,0.081690617,0.123986796,-0.349892825,0.087530162,0.600245048,-0.377927012,0.038597851,0.508039989,-0.371595848,0.318087195,0.162274181,0.162636023,0.409639604,0.658606612,0.071447712,0.199012259,0.485243597,-0.118847059,0.383372231,NA,0.129618962,0.668501011,NA,0.216701231,0.191371116,NA,-0.111702978,0.384403688,0.379296499,-0.359726964,-0.22347319,-0.213488253,-0.580740327,0.176709554,-1,-0.184581235,-0.032122146,-1,-0.522566326,-0.022568071,NA,NA,-0.025732332,NA,NA,NA,0.009720996,-0.028845742,NA,-0.183076362,-0.109146121
